uts,utc_time,artist,artist_mbid,album,album_mbid,track,track_mbid
"1701424870","01 Dec 2023, 10:01","Lexie Liu","96fc9b47-377d-4706-ae8a-cf0d83bcaf7a","","","delulu",""
"1697929456","21 Oct 2023, 23:04","IVE","a760a4d1-1258-4833-9ed5-fa083902d907","","","Classic","aaf59125-d389-4376-b74b-4555bca33732"
"1697442923","16 Oct 2023, 07:55","Everglow","bd04c7b4-530c-4802-ae16-962d004a5093","","","SLAY","71093adc-2fea-4e56-af08-e67202883976"
"1695003925","18 Sep 2023, 02:25","Lexie Liu","96fc9b47-377d-4706-ae8a-cf0d83bcaf7a","","","Deep Down",""
"1689111617","11 Jul 2023, 21:40","PURPLE KISS","0a7ef947-cb11-4bf0-89e3-23b9a950f04d","","","Sweet Juice","0210f62e-05cd-46e8-8a18-fe8ddb1aecdc"
"1687114989","18 Jun 2023, 19:03","PURPLE KISS","0a7ef947-cb11-4bf0-89e3-23b9a950f04d","","","Autopilot","8bdb0fd6-485e-41f8-a516-d8afbde5924d"
"1686983531","17 Jun 2023, 06:32","CHANMINA","96ec7174-5836-4ff8-8d6a-11d90c7a5e62","","","Angel",""
"1686079915","06 Jun 2023, 19:31","TWICE","81b06580-9723-4160-bf0c-e295a3b7a40a","","","Queen of Hearts","dec3dc32-e837-49ba-b048-9ed9514e8519"
"1684901992","24 May 2023, 04:19","TWICE","81b06580-9723-4160-bf0c-e295a3b7a40a","","","GOT THE THRILLS","b27bab82-a0fd-4952-b938-837643f9fc30"
"1681663892","16 Apr 2023, 16:51","XG","8dfe067c-ae90-472e-80f2-fcee9be4e158","","","LEFT RIGHT","238ec987-227b-4c0b-900c-4d90d6aad9b9"
"1681613569","16 Apr 2023, 02:52","Ferry Blue","0f83a003-8335-49ca-96ed-570c2c359797","","","Game Over","7b5e4e74-427f-4de1-880c-a6e7cbcb8a2c"
"1680198092","30 Mar 2023, 17:41","Lexie Liu","96fc9b47-377d-4706-ae8a-cf0d83bcaf7a","","","MIRA","b35d983b-fbc8-412c-b9d8-4e1fce694e02"
"1678241834","08 Mar 2023, 02:17","GWSN","4be85d5f-1566-48c9-ae11-c0392cb44fea","","","BAZOOKA!",""
"1676921246","20 Feb 2023, 19:27","Lexie Liu","96fc9b47-377d-4706-ae8a-cf0d83bcaf7a","","","FORTUNA","6162f695-b49c-47f9-9bff-ff7c8d963f02"
"1676921244","20 Feb 2023, 19:27","Lexie Liu","96fc9b47-377d-4706-ae8a-cf0d83bcaf7a","","","RRR","8438e265-931f-4a88-bd74-ac3e38ddafc2"
